title,year,rank_in_year,macro_categoria,animation_studios
Jungle wa Itsumo Hare nochi Guu,2001,20,Otros Géneros,Shin-Ei Animation
The SoulTaker: Tamashiigari,2001,21,Fantasía / Acción / Aventura,Tatsunoko Production
Vandread: the second stage,2001,22,Híbrido (Acción + Sci-Fi),GONZO
Cyborg 009: THE CYBORG SOLDIER,2001,23,Híbrido (Acción + Sci-Fi),Unknown
Super GALS! Kotobuki Ran,2001,24,Otros Géneros,Studio Pierrot
I My Me! Strawberry Eggs,2001,25,Otros Géneros,TNK
Motto! Ojamajo Doremi,2001,26,Fantasía / Acción / Aventura,Toei Animation
Final Fantasy: Unlimited,2001,27,Híbrido (Acción + Sci-Fi),GONZO
Sister Princess,2001,28,Otros Géneros,ZEXCS
Seikai no Senki II,2001,29,Híbrido (Acción + Sci-Fi),Sunrise
Zoids Shin Seiki/Zero,2001,30,Híbrido (Acción + Sci-Fi),Xebec
Comic Party,2001,31,Otros Géneros,OLM
Figure 17: Tsubasa & Hikaru,2001,32,Sci-Fi / Mecha Puro,OLM
Mahou Senshi Louie,2001,33,Fantasía / Acción / Aventura,J.C.STAFF
Chicchana Yukitsukai Sugar,2001,34,Fantasía / Acción / Aventura,J.C.STAFF
Kaze no Youjinbou,2001,35,Fantasía / Acción / Aventura,Studio Pierrot
Tales of Eternia THE ANIMATION,2001,36,Fantasía / Acción / Aventura,"Production I.G, Xebec"
Project ARMS,2001,37,Híbrido (Acción + Sci-Fi),TMS Entertainment
Geneshaft,2001,38,Híbrido (Acción + Sci-Fi),Satelight
Najica Dengeki Sakusen,2001,39,Híbrido (Acción + Sci-Fi),Studio Fantasia
"Z.O.E Dolores,i",2001,40,Híbrido (Acción + Sci-Fi),Sunrise
Otogi Story Tenshi no Shippo,2001,41,Fantasía / Acción / Aventura,Tokyo Kids
Taiho Shichauzo: SECOND SEASON,2001,42,Fantasía / Acción / Aventura,Studio DEEN
Salaryman Kintarou,2001,43,Fantasía / Acción / Aventura,"JCF, Echo"
Kokoro Toshokan,2001,44,Otros Géneros,Studio DEEN
Gakuen Senki Muryou,2001,45,Híbrido (Acción + Sci-Fi),MADHOUSE
i -wish you were here-: Anata ga Koko ni Itehoshii,2001,46,Híbrido (Acción + Sci-Fi),GONZO
Star Ocean EX,2001,47,Híbrido (Acción + Sci-Fi),Studio DEEN
Cosmic Baton Girl Comet-san,2001,48,Híbrido (Acción + Sci-Fi),"Nippon Animation, Synergy Japan"
Magical Nyan Nyan Taruto,2001,49,Otros Géneros,"MADHOUSE, TNK"
PaRappa The Rapper,2001,50,Fantasía / Acción / Aventura,"J.C.STAFF, Production I.G, J.C.STAFF, Production I.G"
SAMURAI GIRL Real Bout High School,2001,51,Fantasía / Acción / Aventura,GONZO
Shin Chou Kyou Ryo: Condor Hero,2001,52,Fantasía / Acción / Aventura,Nippon Animation
Cosmo Warrior Zero,2001,53,Híbrido (Acción + Sci-Fi),Unknown
Chance: Triangle Session,2001,54,Otros Géneros,MADHOUSE
Gekitou! Crush Gear TURBO,2001,55,Otros Géneros,Sunrise
Hakaima Sadamitsu,2001,56,Híbrido (Acción + Sci-Fi),Studio DEEN
Project ARMS: The 2nd Chapter,2001,57,Híbrido (Acción + Sci-Fi),TMS Entertainment
Haja Kyosei G Dangaiou,2001,58,Híbrido (Acción + Sci-Fi),AIC
Kakutou Ryouri Densetsu Bistro Recipe,2001,59,Fantasía / Acción / Aventura,Group TAC
Shiawase Sou no Okojo-san,2001,60,Otros Géneros,Radix
Chikyuu Bouei Kazoku,2001,61,Híbrido (Acción + Sci-Fi),Group TAC
Offside (TV),2001,62,Fantasía / Acción / Aventura,Ashi Productions
Dr. Rin ni Kiitemite!,2001,63,Fantasía / Acción / Aventura,Studio Comet
Babel Nisei (2001),2001,64,Híbrido (Acción + Sci-Fi),Unknown
Run=Dim,2001,65,Híbrido (Acción + Sci-Fi),Unknown
Dennou Boukenki Webdiver,2001,66,Híbrido (Acción + Sci-Fi),"Nippon Animation, Radix"
Young Harlock o Oe! Cosmo Warrior Zero Gaiden,2001,67,Sci-Fi / Mecha Puro,Unknown
Kasumin 1st Series,2001,68,Fantasía / Acción / Aventura,OLM
Pachislo Kizoku Gin,2001,69,Fantasía / Acción / Aventura,Actas
Geisters: Fractions of the Earth,2001,70,Híbrido (Acción + Sci-Fi),Plum
Genei Toushi Bastof Lemon,2001,71,Híbrido (Acción + Sci-Fi),Unknown
Daisuki! BuBu ChaCha,2001,72,Otros Géneros,Daume
Nono-chan,2001,73,Otros Géneros,Toei Animation
Kinniku Banzuke: Kongou-kun no Daibouken!,2001,74,Fantasía / Acción / Aventura,Studio Pierrot
Vampiyan Kids,2001,75,Fantasía / Acción / Aventura,Production I.G
Sabaku no Kaizoku! Captain Kuppa,2001,76,Híbrido (Acción + Sci-Fi),Bee Train
Yobarete Tobidete Akubi-chan,2001,77,Fantasía / Acción / Aventura,Tatsunoko Production
Mamimume★Mogacho,2001,78,Otros Géneros,Unknown
Go! Go! Itsutsugo Land,2001,79,Otros Géneros,Unknown
Gyouten Ningen Batsealer,2001,80,Fantasía / Acción / Aventura,Group TAC
Tantei Shounen Kageman,2001,81,Otros Géneros,Studio Hibari
NARUTO,2002,1,Fantasía / Acción / Aventura,Studio Pierrot
Azumanga Daiou THE ANIMATION,2002,2,Otros Géneros,"J.C.STAFF, J.C.STAFF"
Haibane Renmei,2002,3,Fantasía / Acción / Aventura,Radix
Full Metal Panic!,2002,4,Híbrido (Acción + Sci-Fi),GONZO
Chobits,2002,5,Sci-Fi / Mecha Puro,MADHOUSE
Koukaku Kidoutai: STAND ALONE COMPLEX,2002,6,Híbrido (Acción + Sci-Fi),"Production I.G, Trilogy Future Studio"
Pocket Monsters Advanced Generation,2002,7,Fantasía / Acción / Aventura,OLM
Princess Tutu,2002,8,Fantasía / Acción / Aventura,Hal Film Maker
Juuni Kokuki,2002,9,Fantasía / Acción / Aventura,Studio Pierrot
.hack//SIGN,2002,10,Híbrido (Acción + Sci-Fi),Bee Train
Tokyo Mew Mew,2002,11,Híbrido (Acción + Sci-Fi),Studio Pierrot
Kidou Senshi Gundam SEED,2002,12,Híbrido (Acción + Sci-Fi),Sunrise
Onegai☆Teacher,2002,13,Sci-Fi / Mecha Puro,Daume
Digimon Frontier,2002,14,Híbrido (Acción + Sci-Fi),Toei Animation
RahXephon,2002,15,Sci-Fi / Mecha Puro,bones
Witch Hunter ROBIN,2002,16,Fantasía / Acción / Aventura,Sunrise
Abenobashi Mahou☆Shoutengai,2002,17,Fantasía / Acción / Aventura,"Gainax, MADHOUSE"
Full Moon wo Sagashite,2002,18,Otros Géneros,Studio DEEN
Saishuu Heiki Kanojo,2002,19,Sci-Fi / Mecha Puro,"GONZO, Doga Kobo"
GetBackers: Dakkanya,2002,20,Fantasía / Acción / Aventura,Studio DEEN
Ai Yori Aoshi,2002,21,Otros Géneros,J.C.STAFF
Kanon,2002,22,Otros Géneros,Toei Animation
Bakuten Shoot Beyblade 2002,2002,23,Híbrido (Acción + Sci-Fi),"Heewon Entertainment, Nippon Animation, Synergy Japan, Seoul Animation"
Rockman.EXE,2002,24,Híbrido (Acción + Sci-Fi),Xebec
Kiddy Grade,2002,25,Híbrido (Acción + Sci-Fi),GONZO
Spiral: Suiri no Kizuna,2002,26,Otros Géneros,J.C.STAFF
Samurai Deeper Kyou,2002,27,Fantasía / Acción / Aventura,Studio DEEN
Ou Dorobou JING,2002,28,Híbrido (Acción + Sci-Fi),Studio DEEN
Mahoromatic: Motto Utsukushii Mono,2002,29,Sci-Fi / Mecha Puro,"Gainax, Shaft"
OVERMAN King Gainer,2002,30,Híbrido (Acción + Sci-Fi),Sunrise
Ojamajo Doremi Dokkaan!,2002,31,Fantasía / Acción / Aventura,Toei Animation
Tenshi na Konamaiki,2002,32,Otros Géneros,TMS Entertainment
Tokyo Underground,2002,33,Híbrido (Acción + Sci-Fi),Studio Pierrot
Tenchi Muyou! GXP,2002,34,Híbrido (Acción + Sci-Fi),AIC
Kinnikuman Nisei,2002,35,Híbrido (Acción + Sci-Fi),Toei Animation
HAPPY☆LESSON (TV),2002,36,Otros Géneros,Unknown
Hanada Shounen-shi,2002,37,Otros Géneros,MADHOUSE
Pitaten,2002,38,Fantasía / Acción / Aventura,"MADHOUSE, Studio Matrix"
UFO Princess Valkyrie,2002,39,Sci-Fi / Mecha Puro,TNK
HeatGuy J,2002,40,Híbrido (Acción + Sci-Fi),Satelight
Wagamama☆Fairy Mirumo de Pon!,2002,41,Fantasía / Acción / Aventura,Studio Hibari
